Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
18.90,1744.495,954.90,-46.42857,96.8, -,8.945935
18.95,1747.36,954.80,-46.42857,96.8, -,8.945935
19.00,1747.36,954.80,-40.95238,96.8, -,8.945935
19.05,1735.904,955.20,-43.66667,96.8, -,8.945935
19.10,1724.453,955.60,-51.85714,96.8, -,8.945935
19.15,1713.004,956.00,-60.04762,96.8, -,8.945935
19.20,1710.143,956.10,-60.04762,96.8, -,8.945935
19.25,1707.281,956.20,-65.47619,96.8, -,8.945935
19.30,1707.281,956.20,-60,96.8, -,8.945935
19.35,1707.281,956.20,-51.80952,96.8, -,8.945935
19.40,1704.421,956.30,-51.80952,96.8, -,8.945935
19.45,1701.559,956.40,-57.23809,96.8, -,8.945935
19.50,1695.84,956.60,-65.38095,96.8, -,8.945935
19.55,1690.12,956.80,-70.80952,96.8, -,8.945935
19.60,1684.4,957.00,-70.7619,96.8, -,8.945935
19.65,1687.259,956.90,-65.33334,96.8, -,8.945935
19.70,1692.979,956.70,-51.71429,96.8, -,8.945935
19.75,1690.12,956.80,-51.71429,96.8, -,8.945935
19.80,1690.12,956.80,-51.71429,96.8, -,8.945935
19.85,1695.84,956.60,-43.57143,96.8, -,8.945935
19.90,1690.12,956.80,-51.71429,96.8, -,8.945935
19.95,1687.259,956.90,-54.42857,96.8, -,8.945935
20.00,1687.259,956.90,-57.14286,96.8, -,8.945935
20.05,1687.259,956.90,-57.14286,96.8, -,8.945935
20.10,1675.824,957.30,-57.14286,96.8, -,8.945935
20.15,1670.108,957.50,-51.66667,96.8, -,8.945935
20.20,1670.108,957.50,-40.76191,96.8, -,8.945935
20.25,1664.392,957.70,-43.47619,96.8, -,8.945935
20.30,1658.677,957.90,-46.19048,96.8, -,8.945935
20.35,1647.252,958.30,-57.04762,96.8, -,8.945935
20.40,1641.541,958.50,-62.47619,96.8, -,8.945935
20.45,1644.396,958.40,-57.04762,96.8, -,8.945935
20.50,1641.541,958.50,-57.04762,96.8, -,8.945935
20.55,1635.83,958.70,-57.04762,96.62, -,8.945935
20.60,1635.83,958.70,-51.61905,96.62, -,8.945935
20.65,1635.83,958.70,-46.19048,96.62, -,8.945935
20.70,1638.686,958.60,-46.19048,96.62, -,8.945935
20.75,1632.975,958.80,-57.04762,96.62, -,8.945935
20.80,1635.83,958.70,-51.61905,96.62, -,8.945935
20.85,1638.686,958.60,-48.90476,96.62, -,8.945935
20.90,1638.686,958.60,-54.33333,96.62, -,8.945935
20.95,1630.12,958.90,-57.04762,96.62, -,8.945935
21.00,1621.557,959.20,-62.47619,96.62, -,8.945935
21.05,1615.85,959.40,-67.90476,96.62, -,8.945935
21.10,1610.145,959.60,-73.33334,96.62, -,8.945935
21.15,1607.291,959.70,-65.14286,96.62, -,8.945935
21.20,1604.44,959.80,-62.42857,96.62, -,8.945935
21.25,1615.85,959.40,-51.57143,96.62, -,8.945935
21.30,1615.85,959.40,-46.14286,96.62, -,8.945935
21.35,1607.291,959.70,-48.85714,96.62, -,8.945935
21.40,1604.44,959.80,-40.71429,96.62, -,8.945935
21.45,1595.884,960.10,-43.42857,96.62, -,8.945935
21.50,1584.479,960.50,-57,96.62, -,8.926488
21.55,1578.777,960.70,-59.71429,96.62, -,8.926488
21.60,1575.928,960.80,-57,96.62, -,8.926488
21.65,1575.928,960.80,-57,96.62, -,8.926488
21.70,1578.777,960.70,-54.28571,96.62, -,8.926488
21.75,1570.228,961.00,-65.14286,96.62, -,8.926488
21.80,1564.529,961.20,-65.14286,96.62, -,8.926488
21.85,1561.681,961.30,-70.57143,96.62, -,8.926488
21.90,1558.831,961.40,-76,96.62, -,8.926488
21.95,1553.136,961.60,-81.42857,96.62, -,8.926488
22.00,1553.136,961.60,-73.28571,96.62, -,8.926488
22.05,1555.984,961.50,-62.42857,96.62, -,8.926488
22.10,1558.831,961.40,-54.28571,96.62, -,8.926488
22.15,1564.529,961.20,-43.42857,96.62, -,8.926488
22.20,1570.228,961.00,-35.28571,96.62, -,8.926488
22.25,1570.228,961.00,-32.57143,96.62, -,8.926488
22.30,1564.529,961.20,-48.85714,96.62, -,8.926488
22.35,1558.831,961.40,-54.28571,96.62, -,8.926488
22.40,1555.984,961.50,-48.85714,96.62, -,8.926488
22.45,1550.287,961.70,-51.57143,96.62, -,8.926488
22.50,1544.592,961.90,-48.85714,96.62, -,8.926488
22.55,1536.051,962.20,-46.14286,96.62, -,8.945935
22.60,1524.667,962.60,-51.57143,96.62, -,8.945935
22.65,1518.976,962.80,-54.28571,96.62, -,8.945935
22.70,1516.13,962.90,-57,96.62, -,8.945935
22.75,1513.286,963.00,-62.42857,96.62, -,8.945935
22.80,1510.442,963.10,-57,96.62, -,8.945935
22.85,1510.442,963.10,-51.57143,96.62, -,8.945935
22.90,1510.442,963.10,-48.85714,96.62, -,8.945935
22.95,1510.442,963.10,-46.14286,96.62, -,8.945935
23.00,1507.597,963.20,-43.42857,96.62, -,8.945935
23.05,1507.597,963.20,-43.42857,96.62, -,8.945935
23.10,1507.597,963.20,-46.14286,96.62, -,8.945935
23.15,1501.909,963.40,-54.28571,96.62, -,8.945935
23.20,1499.066,963.50,-62.42857,96.62, -,8.945935
23.25,1496.223,963.60,-70.57143,96.62, -,8.945935
23.30,1493.379,963.70,-73.28571,96.62, -,8.945935
23.35,1493.379,963.70,-67.85714,96.62, -,8.945935
23.40,1496.223,963.60,-59.71429,96.62, -,8.945935
23.45,1499.066,963.50,-54.28571,96.62, -,8.945935
23.50,1496.223,963.60,-51.57143,96.62, -,8.945935
